restaurant_name,review_text,rating
The Corner Bistro,Wow... Loved this place.,5
Maple & Vine,Crust is not good.,1
Riverside Grill,Not tasty and the texture was just nasty.,1
Oak & Ember,Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.,5
Harbor House,The selection on the menu was great and so were the prices.,5
Blue Willow,Now I am getting angry and I want my damn pho.,1
Cedar & Salt,Honeslty it didn't taste THAT fresh.),1
The Garden Fork,The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.,1
Iron Skillet,The fries were great too.,5
Sunset Terrace,A great touch.,5
The Corner Bistro,Service was very prompt.,5
Maple & Vine,Would not go back.,1
Riverside Grill,The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.,1
Oak & Ember,"I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!",5
Harbor House,I was disgusted because I was pretty sure that was human hair.,1
Blue Willow,I was shocked because no signs indicate cash only.,1
Cedar & Salt,Highly recommended.,5
The Garden Fork,Waitress was a little slow in service.,1
Iron Skillet,"This place is not worth your time, let alone Vegas.",1
Sunset Terrace,did not like at all.,1
The Corner Bistro,The Burrittos Blah!,1
Maple & Vine,"The food, amazing.",5
Riverside Grill,Service is also cute.,5
Oak & Ember,I could care less... The interior is just beautiful.,5
Harbor House,So they performed.,5
Blue Willow,That's right....the red velvet cake.....ohhh this stuff is so good.,5
Cedar & Salt,- They never brought a salad we asked for.,1
The Garden Fork,"This hole in the wall has great Mexican street tacos, and friendly staff.",5
Iron Skillet,"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",1
Sunset Terrace,The worst was the salmon sashimi.,1
The Corner Bistro,"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",5
Maple & Vine,This was like the final blow!,1
Riverside Grill,I found this place by accident and I could not be happier.,5
Oak & Ember,"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",1
Harbor House,"Overall, I like this place a lot.",5
